"Time","Angle 1.o/0/X","Angle 1.o/0/Y","Angle 1.a/0/X","Angle 1.a/0/Y","Angle 1.b/0/X","Angle 1.b/0/Y","Angle 2.o/0/X","Angle 2.o/0/Y","Angle 2.a/0/X","Angle 2.a/0/Y","Angle 2.b/0/X","Angle 2.b/0/Y","Angle 1/o/X","Angle 1/o/Y","Angle 1/a/X","Angle 1/a/Y","Angle 1/b/X","Angle 1/b/Y","Angle 2/o/X","Angle 2/o/Y","Angle 2/a/X","Angle 2/a/Y","Angle 2/b/X","Angle 2/b/Y"
"1.643308","8.56842","79.25476","15.10663","-199.7932","-16.57556","379.1484","15.10663","-200.1591","8.202576","79.25476","-42.60101","-445.5219","8.56842","79.25476","15.10663","-199.7932","-16.57556","379.1484","15.10663","-200.1591","8.202576","79.25476","-42.60101","-445.5219"
"1.65165","8.787964","78.92044","15.03412","-200.0734","-17.06195","378.9846","15.03412","-200.0734","7.699097","78.9689","-43.03131","-446.0673","8.787964","78.92044","15.03412","-200.0734","-17.06195","378.9846","15.03412","-200.0734","7.699097","78.9689","-43.03131","-446.0673"
"1.659992","8.54895","78.93262","14.87866","-200.0712","-16.62512","378.9564","14.87866","-200.0712","7.492004","78.72681","-43.03558","-446.0553","8.54895","78.93262","14.87866","-200.0712","-16.62512","378.9564","14.87866","-200.0712","7.492004","78.72681","-43.03558","-446.0553"
"1.668333","8.259033","78.78851","14.81274","-200.0537","-16.16272","378.9586","14.81274","-200.0537","7.186951","78.814","-43.03418","-446.0518","8.259033","78.78851","14.81274","-200.0537","-16.16272","378.9586","14.81274","-200.0537","7.186951","78.814","-43.03418","-446.0518"
"1.676675","8.075439","78.82669","14.55957","-200.0907","-15.84399","378.9215","14.55957","-200.0907","6.980347","78.8584","-43.01233","-446.1323","8.075439","78.82669","14.55957","-200.0907","-15.84399","378.9215","14.55957","-200.0907","6.980347","78.8584","-43.01233","-446.1323"
"1.685017","7.855835","78.87372","14.35187","-200.0541","-15.28796","378.8983","14.35187","-200.0541","6.762634","78.92435","-43.01233","-446.1346","7.855835","78.87372","14.35187","-200.0541","-15.28796","378.8983","14.35187","-200.0541","6.762634","78.92435","-43.01233","-446.1346"
"1.693358","7.476379","78.71399","14.21667","-200.021","-14.97607","378.9741","14.21667","-200.021","6.429199","78.72629","-43.02368","-446.144","7.476379","78.71399","14.21667","-200.021","-14.97607","378.9741","14.21667","-200.021","6.429199","78.72629","-43.02368","-446.144"
"1.7017","7.167603","78.81015","14.07068","-200.0174","-14.47009","378.9574","14.07068","-200.0174","6.077332","78.83728","-43.04541","-446.1381","7.167603","78.81015","14.07068","-200.0174","-14.47009","378.9574","14.07068","-200.0174","6.077332","78.83728","-43.04541","-446.1381"
"1.710042","6.727966","78.94598","13.87268","-199.9271","-14.18274","378.9371","13.87268","-199.9271","5.64679","78.99762","-43.10254","-446.112","6.727966","78.94598","13.87268","-199.9271","-14.18274","378.9371","13.87268","-199.9271","5.64679","78.99762","-43.10254","-446.112"
"1.718383","6.397522","78.8049","13.58435","-199.8682","-13.80438","378.9125","13.58435","-199.8682","5.311768","78.84311","-43.10254","-446.1137","6.397522","78.8049","13.58435","-199.8682","-13.80438","378.9125","13.58435","-199.8682","5.311768","78.84311","-43.10254","-446.1137"
"1.726725","6.054626","78.90137","13.47253","-199.9305","-13.21088","378.9462","13.47253","-199.9305","4.948242","78.93469","-43.12097","-446.1351","6.054626","78.90137","13.47253","-199.9305","-13.21088","378.9462","13.47253","-199.9305","4.948242","78.93469","-43.12097","-446.1351"
"1.735067","5.708679","79.01105","13.3125","-199.9031","-12.8866","378.8696","13.3125","-199.9031","4.622437","79.05649","-43.12097","-446.1354","5.708679","79.01105","13.3125","-199.9031","-12.8866","378.8696","13.3125","-199.9031","4.622437","79.05649","-43.12097","-446.1354"
"1.743408","5.375","78.81369","13.22845","-199.905","-12.32404","378.8249","13.22845","-199.905","4.319763","78.84055","-43.09906","-446.1928","5.375","78.81369","13.22845","-199.905","-12.32404","378.8249","13.22845","-199.905","4.319763","78.84055","-43.09906","-446.1928"
"1.75175","4.997314","78.95175","13.03253","-199.8841","-11.93604","378.7785","13.03253","-199.8841","3.917053","78.99579","-43.09906","-446.1928","4.997314","78.95175","13.03253","-199.8841","-11.93604","378.7785","13.03253","-199.8841","3.917053","78.99579","-43.09906","-446.1928"
"1.760092","4.68042","78.97318","12.97064","-199.8478","-11.3811","378.8627","12.97064","-199.8478","3.600342","79.03741","-43.10663","-446.2019","4.68042","78.97318","12.97064","-199.8478","-11.3811","378.8627","12.97064","-199.8478","3.600342","79.03741","-43.10663","-446.2019"
"1.768433","4.119812","78.87167","12.75061","-199.8406","-11.04828","378.7711","12.75061","-199.8406","3.041138","78.90384","-43.10663","-446.2019","4.119812","78.87167","12.75061","-199.8406","-11.04828","378.7711","12.75061","-199.8406","3.041138","78.90384","-43.10663","-446.2019"
"1.776775","3.830872","79.00189","12.49939","-199.7673","-10.6618","378.6501","12.49939","-199.7673","2.732849","79.05954","-43.15698","-446.1816","3.830872","79.00189","12.49939","-199.7673","-10.6618","378.6501","12.49939","-199.7673","2.732849","79.05954","-43.15698","-446.1816"
"1.785117","3.500854","79.08862","12.39777","-199.696","-10.15649","378.6389","12.39777","-199.696","2.418152","78.90332","-43.15698","-446.1816","3.500854","79.08862","12.39777","-199.696","-10.15649","378.6389","12.39777","-199.696","2.418152","78.90332","-43.15698","-446.1816"
"1.793458","3.135315","78.88745","12.29059","-199.7149","-9.731628","378.382","12.29059","-199.7149","2.061218","78.9187","-43.18402","-446.176","3.135315","78.88745","12.29059","-199.7149","-9.731628","378.382","12.29059","-199.7149","2.061218","78.9187","-43.18402","-446.176"
"1.8018","2.860291","78.9649","12.21588","-199.6613","-9.286682","378.1948","12.21588","-199.6613","1.761597","79.01593","-43.18378","-446.1764","2.860291","78.9649","12.21588","-199.6613","-9.286682","378.1948","12.21588","-199.6613","1.761597","79.01593","-43.18378","-446.1764"
"1.810142","2.569336","78.96533","12.07428","-199.7162","-8.779724","378.0766","12.07428","-199.7162","1.516052","79.04938","-43.1651","-446.2005","2.569336","78.96533","12.07428","-199.7162","-8.779724","378.0766","12.07428","-199.7162","1.516052","79.04938","-43.1651","-446.2005"
"1.818483","2.277161","78.81903","11.92792","-199.6969","-8.215454","378.0991","11.92792","-199.6969","1.203552","78.85547","-43.16516","-446.2005","2.277161","78.81903","11.92792","-199.6969","-8.215454","378.0991","11.92792","-199.6969","1.203552","78.85547","-43.16516","-446.2005"
"1.826825","1.876343","78.93066","11.73547","-199.6891","-7.977966","377.8826","11.73547","-199.6891","0.7792969","78.98413","-43.18414","-446.203","1.876343","78.93066","11.73547","-199.6891","-7.977966","377.8826","11.73547","-199.6891","0.7792969","78.98413","-43.18414","-446.203"
"1.835167","1.63385","78.93076","11.59735","-199.6415","-7.397522","377.9109","11.59735","-199.6415","0.5715942","79.00378","-43.18414","-446.203","1.63385","78.93076","11.59735","-199.6415","-7.397522","377.9109","11.59735","-199.6415","0.5715942","79.00378","-43.18414","-446.203"
"1.843508","1.260254","78.80951","11.32623","-199.4756","-7.108887","377.7529","11.32623","-199.4756","0.1836548","78.84204","-43.21057","-446.1821","1.260254","78.80951","11.32623","-199.4756","-7.108887","377.7529","11.32623","-199.4756","0.1836548","78.84204","-43.21057","-446.1821"
"1.85185","1.021973","78.88177","11.17328","-199.4455","-6.65979","377.5807","11.17328","-199.4455","-0.08831787","78.92572","-43.21051","-446.1821","1.021973","78.88177","11.17328","-199.4455","-6.65979","377.5807","11.17328","-199.4455","-0.08831787","78.92572","-43.21051","-446.1821"
"1.860192","0.7346191","78.96872","11.01074","-199.4364","-6.144775","377.3974","11.01074","-199.4364","-0.3483887","79.03122","-43.23724","-446.1707","0.7346191","78.96872","11.01074","-199.4364","-6.144775","377.3974","11.01074","-199.4364","-0.3483887","79.03122","-43.23724","-446.1707"
"1.868533","0.4746704","78.78085","10.84198","-199.4432","-5.624146","377.2722","10.84198","-199.4432","-0.5980225","78.81909","-43.23517","-446.1759","0.4746704","78.78085","10.84198","-199.4432","-5.624146","377.2722","10.84198","-199.4432","-0.5980225","78.81909","-43.23517","-446.1759"
"1.876875","0.1746826","78.81985","10.63879","-199.46","-4.968933","376.9887","10.63879","-199.46","-0.90271","78.85025","-43.22797","-446.239","0.1746826","78.81985","10.63879","-199.46","-4.968933","376.9887","10.63879","-199.46","-0.90271","78.85025","-43.22797","-446.239"
"1.885217","-0.02142334","78.88409","10.36536","-199.4318","-4.315491","376.9041","10.36536","-199.4318","-1.112915","78.92886","-43.22589","-446.244","-0.02142334","78.88409","10.36536","-199.4318","-4.315491","376.9041","10.36536","-199.4318","-1.112915","78.92886","-43.22589","-446.244"
"1.893558","-0.350708","78.93747","10.19293","-199.3755","-3.733032","376.7296","10.19293","-199.3755","-1.420288","79.00879","-43.26068","-446.2561","-0.350708","78.93747","10.19293","-199.3755","-3.733032","376.7296","10.19293","-199.3755","-1.420288","79.00879","-43.26068","-446.2561"
"1.9019","-0.6953735","78.79062","10.06427","-199.3412","-3.125427","376.5265","10.06427","-199.3412","-1.77478","78.82822","-43.26068","-446.258","-0.6953735","78.79062","10.06427","-199.3412","-3.125427","376.5265","10.06427","-199.3412","-1.77478","78.82822","-43.26068","-446.258"
"1.910242","-1.086304","78.91266","9.697754","-199.2621","-2.468872","376.4293","9.697754","-199.2621","-2.172485","78.96378","-43.33008","-446.2385","-1.086304","78.91266","9.697754","-199.2621","-2.468872","376.4293","9.697754","-199.2621","-2.172485","78.96378","-43.33008","-446.2385"
"1.918583","-1.3255","78.96088","9.535339","-199.2867","-1.797241","376.0905","9.535339","-199.2867","-2.384644","79.03394","-43.33008","-446.2385","-1.3255","78.96088","9.535339","-199.2867","-1.797241","376.0905","9.535339","-199.2867","-2.384644","79.03394","-43.33008","-446.2385"
"1.926925","-1.698425","78.76337","9.355286","-199.2355","-1.041687","375.8687","9.355286","-199.2355","-2.742004","78.7952","-43.3244","-446.2413","-1.698425","78.76337","9.355286","-199.2355","-1.041687","375.8687","9.355286","-199.2355","-2.742004","78.7952","-43.3244","-446.2413"
"1.935267","-1.96228","78.83047","9.169617","-199.2236","-0.2954102","375.8278","9.169617","-199.2236","-3.050293","78.87775","-43.33167","-446.2573","-1.96228","78.83047","9.169617","-199.2236","-0.2954102","375.8278","9.169617","-199.2236","-3.050293","78.87775","-43.33167","-446.2573"
"1.943608","-2.373779","78.90674","9.11731","-199.2376","0.4143677","375.4788","9.11731","-199.2376","-3.441406","78.98694","-43.31555","-446.2887","-2.373779","78.90674","9.11731","-199.2376","0.4143677","375.4788","9.11731","-199.2376","-3.441406","78.98694","-43.31555","-446.2887"
"1.95195","-2.917664","78.80301","8.894165","-199.2382","1.143433","375.3414","8.894165","-199.2382","-3.998962","78.84531","-43.31555","-446.2887","-2.917664","78.80301","8.894165","-199.2382","1.143433","375.3414","8.894165","-199.2382","-3.998962","78.84531","-43.31555","-446.2887"
