"Time","Angle 1.o/0/X","Angle 1.o/0/Y","Angle 1.a/0/X","Angle 1.a/0/Y","Angle 1.b/0/X","Angle 1.b/0/Y","Angle 1/o/X","Angle 1/o/Y","Angle 1/a/X","Angle 1/a/Y","Angle 1/b/X","Angle 1/b/Y"
"5.038367","8.624725","31.84465","40.89331","-29.39951","-4.01474","92.9812","8.624725","31.84465","40.89331","-29.39951","-4.01474","92.9812"
"5.071733","8.740295","31.70137","40.58838","-29.13654","-3.999634","93.0338","8.740295","31.70137","40.58838","-29.13654","-3.999634","93.0338"
"5.1051","8.214661","32.2236","40.17178","-29.19891","-4.174591","92.90894","8.214661","32.2236","40.17178","-29.19891","-4.174591","92.90894"
"5.138467","8.095764","32.00589","40.09671","-29.19614","-4.340088","92.81068","8.095764","32.00589","40.09671","-29.19614","-4.340088","92.81068"
"5.171834","8.011749","31.8208","40.09647","-29.19611","-4.539459","93.07886","8.011749","31.8208","40.09647","-29.19611","-4.539459","93.07886"
"5.2052","8.002502","31.82179","40.09277","-29.08054","-4.540283","93.07648","8.002502","31.82179","40.09277","-29.08054","-4.540283","93.07648"
"5.238567","8.077576","31.9688","40.10321","-29.01805","-4.481293","92.73027","8.077576","31.9688","40.10321","-29.01805","-4.481293","92.73027"
"5.271934","8.201752","32.10172","40.12683","-28.8531","-4.315521","92.82269","8.201752","32.10172","40.12683","-28.8531","-4.315521","92.82269"
"5.3053","8.33667","32.22133","40.12708","-28.85338","-4.290497","92.8359","8.33667","32.22133","40.12708","-28.85338","-4.290497","92.8359"
"5.338666","8.914368","31.21892","40.23141","-28.83504","-3.930267","92.992","8.914368","31.21892","40.23141","-28.83504","-3.930267","92.992"
"5.372033","8.780334","31.61499","40.52222","-28.77672","-3.774719","93.07878","8.780334","31.61499","40.52222","-28.77672","-3.774719","93.07878"
"5.4054","8.995361","31.93442","40.76178","-28.76746","-3.260681","92.93556","8.995361","31.93442","40.76178","-28.76746","-3.260681","92.93556"
"5.438766","9.217468","32.22232","41.03363","-28.8259","-2.943939","93.09469","9.217468","32.22232","41.03363","-28.8259","-2.943939","93.09469"
"5.472133","9.674896","31.55403","41.3136","-28.83592","-2.410919","92.99602","9.674896","31.55403","41.3136","-28.83592","-2.410919","92.99602"
"5.5055","9.957001","31.9938","41.74588","-28.81752","-2.08725","93.14723","9.957001","31.9938","41.74588","-28.81752","-2.08725","93.14723"
"5.538867","10.32623","32.45447","42.0863","-28.80931","-2.307587","93.65633","10.32623","32.45447","42.0863","-28.80931","-2.307587","93.65633"
"5.572233","10.95578","31.49353","42.39429","-28.83524","-1.857758","93.91849","10.95578","31.49353","42.39429","-28.83524","-1.857758","93.91849"
"5.6056","10.99979","32.15813","42.69156","-28.91287","0.4030457","93.20694","10.99979","32.15813","42.69156","-28.91287","0.4030457","93.20694"
"5.638967","11.67572","31.67532","42.9603","-29.00185","1.146057","93.22028","11.67572","31.67532","42.9603","-29.00185","1.146057","93.22028"
"5.672333","11.9971","32.36179","43.10794","-29.05647","2.131104","93.37991","11.9971","32.36179","43.10794","-29.05647","2.131104","93.37991"
"5.7057","12.26874","33.18118","43.19556","-29.25269","2.302521","94.01341","12.26874","33.18118","43.19556","-29.25269","2.302521","94.01341"
"5.739067","12.88394","32.76315","43.16568","-29.38084","3.80249","93.94784","12.88394","32.76315","43.16568","-29.38084","3.80249","93.94784"
"5.772433","13.78934","32.14575","42.88785","-29.67888","5.671936","93.88647","13.78934","32.14575","42.88785","-29.67888","5.671936","93.88647"
