Time,Angle 1.o/0/X,Angle 1.o/0/Y,Angle 1.a/0/X,Angle 1.a/0/Y,Angle 1.b/0/X,Angle 1.b/0/Y,Angle 1/o/X,Angle 1/o/Y,Angle 1/a/X,Angle 1/a/Y,Angle 1/b/X,Angle 1/b/Y,,,,,,,
5.939267,20.01981,20.32904,37.66757,-32.72493,19.72079,95.52229,20.01981,20.32904,37.66757,-32.72493,19.72079,95.52229,,0,0,0,0,0,0
5.972633,20.72284,19.15546,36.69196,-33.88557,22.8815,94.77819,20.72284,19.15546,36.69196,-33.88557,22.8815,94.77819,,,,,,,
6.006,21.40213,18.27193,35.7981,-35.15491,25.89218,93.69783,21.40213,18.27193,35.7981,-35.15491,25.89218,93.69783,,,,,,,
6.039367,22.01349,16.90237,34.62872,-37.0787,30.39233,91.35095,22.01349,16.90237,34.62872,-37.0787,30.39233,91.35095,,,,,,,
6.072733,22.85284,14.47726,33.65158,-39.28455,33.54437,88.52615,22.85284,14.47726,33.65158,-39.28455,33.54437,88.52615,,,,,,,
6.1061,23.61029,12.08969,32.72803,-42.16811,37.13214,86.02117,23.61029,12.08969,32.72803,-42.16811,37.13214,86.02117,,,,,,,
6.139467,24.08163,9.197174,32.12982,-45.27165,39.26959,83.90108,24.08163,9.197174,32.12982,-45.27165,39.26959,83.90108,,,,,,,
6.172833,24.72186,6.028183,31.65506,-48.64493,42.78448,79.58476,24.72186,6.028183,31.65506,-48.64493,42.78448,79.58476,,,,,,,
6.2062,25.48636,2.948486,31.86749,-52.04068,45.93542,75.9752,25.48636,2.948486,31.86749,-52.04068,45.93542,75.9752,,,,,,,
6.239567,26.22369,-0.8367615,31.97806,-56.06677,47.76004,72.69458,26.22369,-0.8367615,31.97806,-56.06677,47.76004,72.69458,,,,,,,
6.272933,26.94681,-4.348846,32.26724,-60.11897,49.95401,69.0209,26.94681,-4.348846,32.26724,-60.11897,49.95401,69.0209,,,,,,,
6.3063,28.00925,-8.528137,32.81854,-63.87216,52.58609,64.75672,28.00925,-8.528137,32.81854,-63.87216,52.58609,64.75672,,,,,,,
6.339667,29.11514,-12.51646,32.88232,-68.58823,54.69489,60.67142,29.11514,-12.51646,32.88232,-68.58823,54.69489,60.67142,,,,,,,
6.373034,29.99106,-17.1747,33.76801,-73.12357,57.03778,56.08588,29.99106,-17.1747,33.76801,-73.12357,57.03778,56.08588,,,,,,,
6.4064,30.95355,-19.73953,34.03064,-78.25815,58.92294,51.77692,30.95355,-19.73953,34.03064,-78.25815,58.92294,51.77692,,,,,,,
6.439767,31.8165,-25.70396,34.31387,-83.13516,61.06143,46.9189,31.8165,-25.70396,34.31387,-83.13516,61.06143,46.9189,,,,,,,
6.473134,32.31949,-31.52997,34.87576,-88.15244,62.8147,41.6693,32.31949,-31.52997,34.87576,-88.15244,62.8147,41.6693,,,,,,,
6.5065,33.0737,-35.06741,35.23972,-93.46503,64.21063,37.04901,33.0737,-35.06741,35.23972,-93.46503,64.21063,37.04901,,,,,,,
6.539866,33.63306,-37.94435,35.12219,-98.65506,65.94406,31.17929,33.63306,-37.94435,35.12219,-98.65506,65.94406,31.17929,,,,,,,
6.573233,34.23846,-43.13547,35.33044,-103.7391,67.173,26.36435,34.23846,-43.13547,35.33044,-103.7391,67.173,26.36435,,,,,,,
6.6066,34.85196,-46.84764,35.41556,-108.8391,68.22372,21.37289,34.85196,-46.84764,35.41556,-108.8391,68.22372,21.37289,,,,,,,
6.639966,35.06516,-50.88603,35.47113,-114.0781,68.94946,16.62216,35.06516,-50.88603,35.47113,-114.0781,68.94946,16.62216,,,,,,,
6.673333,35.05811,-54.96967,35.47183,-119.0797,69.4823,12.00876,35.05811,-54.96967,35.47183,-119.0797,69.4823,12.00876,,,,,,,
6.7067,35.26425,-59.46423,35.3812,-123.9206,70.21277,7.425232,35.26425,-59.46423,35.3812,-123.9206,70.21277,7.425232,,,,,,,
6.740067,35.83026,-61.96664,35.67075,-128.1608,70.64862,3.156876,35.83026,-61.96664,35.67075,-128.1608,70.64862,3.156876,,,,,,,
6.773433,35.91437,-68.06891,35.72137,-132.7745,70.93439,-0.9429932,35.91437,-68.06891,35.72137,-132.7745,70.93439,-0.9429932,,,,,,,
6.8068,35.85358,-70.99506,35.93881,-137.0101,71.2052,-9.986267,35.85358,-70.99506,35.93881,-137.0101,71.2052,-9.986267,,,,,,,
6.840167,35.97607,-74.80859,36.21524,-141.334,71.02725,-8.266281,35.97607,-74.80859,36.21524,-141.334,71.02725,-8.266281,,,,,,,
6.873533,36.12329,-80.64014,36.26874,-145.5065,71.21033,-17.02931,36.12329,-80.64014,36.26874,-145.5065,71.21033,-17.02931,,,,,,,
