"Time","Angle 1.o/0/X","Angle 1.o/0/Y","Angle 1.a/0/X","Angle 1.a/0/Y","Angle 1.b/0/X","Angle 1.b/0/Y","Angle 1/o/X","Angle 1/o/Y","Angle 1/a/X","Angle 1/a/Y","Angle 1/b/X","Angle 1/b/Y"
"4.637967","14.49478","20.1467","49.00055","-25.62627","-1.701813","93.38345","14.49478","20.1467","49.00055","-25.62627","-1.701813","93.38345"
"4.671333","13.9903","20.08453","48.79959","-26.39645","-1.998871","93.03535","13.9903","20.08453","48.79959","-26.39645","-1.998871","93.03535"
"4.7047","13.96738","20.0567","48.01086","-27.14015","-2.224243","92.94806","13.96738","20.0567","48.01086","-27.14015","-2.224243","92.94806"
"4.738067","13.75671","19.7858","47.32599","-27.94598","-2.351105","92.88189","13.75671","19.7858","47.32599","-27.94598","-2.351105","92.88189"
"4.771433","13.75787","19.12204","46.77063","-29.09897","-2.368011","92.85812","13.75787","19.12204","46.77063","-29.09897","-2.368011","92.85812"
"4.8048","13.63049","18.62675","46.08511","-30.17902","-2.357025","92.87743","13.63049","18.62675","46.08511","-30.17902","-2.357025","92.87743"
"4.838167","13.60657","17.71172","45.45395","-31.3624","-2.512695","93.13626","13.60657","17.71172","45.45395","-31.3624","-2.512695","93.13626"
"4.871533","13.26151","18.01425","44.61957","-32.07623","-2.512695","93.13632","13.26151","18.01425","44.61957","-32.07623","-2.512695","93.13632"
"4.9049","13.06467","17.15125","43.81079","-32.85066","-2.780823","92.98984","13.06467","17.15125","43.81079","-32.85066","-2.780823","92.98984"
"4.938267","12.71225","16.80331","43.08987","-33.30295","-2.876221","92.9077","12.71225","16.80331","43.08987","-33.30295","-2.876221","92.9077"
"4.971633","12.09015","16.88339","42.58282","-33.82103","-3.246582","92.75389","12.09015","16.88339","42.58282","-33.82103","-3.246582","92.75389"
"5.005","11.96185","16.6404","41.97754","-34.05199","-3.334625","92.72326","11.96185","16.6404","41.97754","-34.05199","-3.334625","92.72326"
"5.038367","11.93481","16.42941","41.45456","-34.1613","-3.618164","92.93307","11.93481","16.42941","41.45456","-34.1613","-3.618164","92.93307"
"5.071733","11.72433","16.24236","41.15289","-34.25781","-3.890076","92.7879","11.72433","16.24236","41.15289","-34.25781","-3.890076","92.7879"
"5.1051","11.02005","16.51042","40.62164","-34.02448","-4.097717","92.62544","11.02005","16.51042","40.62164","-34.02448","-4.097717","92.62544"
"5.138467","11.1156","16.35173","40.50955","-34.04337","-3.60498","92.48224","11.1156","16.35173","40.50955","-34.04337","-3.60498","92.48224"
"5.171834","11.07712","16.35242","40.50955","-34.04272","-3.78717","92.34858","11.07712","16.35242","40.50955","-34.04272","-3.78717","92.34858"
"5.2052","11.10406","16.41261","40.54169","-33.9346","-3.791748","92.34555","11.10406","16.41261","40.54169","-33.9346","-3.791748","92.34555"
"5.238567","11.13278","16.44057","40.56955","-33.84879","-3.744141","92.38185","11.13278","16.44057","40.56955","-33.84879","-3.744141","92.38185"
"5.271934","11.15179","16.49875","40.6333","-33.63661","-4.285065","92.50037","11.15179","16.49875","40.6333","-33.63661","-4.285065","92.50037"
"5.3053","10.99002","16.65211","40.63361","-33.6369","-4.251282","92.52005","10.99002","16.65211","40.63361","-33.6369","-4.251282","92.52005"
"5.338666","11.19183","16.90866","40.77823","-33.55246","-3.097656","92.24402","11.19183","16.90866","40.77823","-33.55246","-3.097656","92.24402"
"5.372033","11.77377","16.28601","40.79086","-33.49695","-2.914734","92.36574","11.77377","16.28601","40.79086","-33.49695","-2.914734","92.36574"
"5.4054","11.99799","16.45302","41.0141","-33.42096","-3.147125","92.70228","11.99799","16.45302","41.0141","-33.42096","-3.147125","92.70228"
"5.438766","11.96576","16.68079","41.31012","-33.38956","-2.766144","92.90775","11.96576","16.68079","41.31012","-33.38956","-2.766144","92.90775"
"5.472133","12.19925","16.93002","41.87","-33.54501","-2.248474","92.84601","12.19925","16.93002","41.87","-33.54501","-2.248474","92.84601"
"5.5055","12.8233","16.28593","42.00998","-33.47461","-2.029175","92.97777","12.8233","16.28593","42.00998","-33.47461","-2.029175","92.97777"
"5.538867","12.85629","16.50635","42.71619","-33.59946","-1.533081","93.39993","12.85629","16.50635","42.71619","-33.59946","-1.533081","93.39993"
"5.572233","13.13858","16.8837","42.96115","-33.53633","-1.023132","93.15807","13.13858","16.8837","42.96115","-33.53633","-1.023132","93.15807"
"5.6056","13.797","16.21577","43.1962","-33.62521","0.02600098","93.00912","13.797","16.21577","43.1962","-33.62521","0.02600098","93.00912"
"5.638967","14.13544","16.4897","43.51727","-33.79965","1.065948","92.99393","14.13544","16.4897","43.51727","-33.79965","1.065948","92.99393"
"5.672333","14.34219","17.1275","43.63629","-33.82896","2.119934","93.12883","14.34219","17.1275","43.63629","-33.82896","2.119934","93.12883"
"5.7057","14.86111","16.55984","43.68246","-34.00771","3.076172","93.29424","14.86111","16.55984","43.68246","-34.00771","3.076172","93.29424"
"5.739067","15.1843","17.02505","43.61102","-34.16022","3.634155","93.73854","15.1843","17.02505","43.61102","-34.16022","3.634155","93.73854"
"5.772433","15.94537","16.44476","43.18088","-34.38281","5.420715","94.22931","15.94537","16.44476","43.18088","-34.38281","5.420715","94.22931"
"5.8058","15.92776","16.76389","42.88574","-34.74025","7.337006","94.19073","15.92776","16.76389","42.88574","-34.74025","7.337006","94.19073"
"5.839167","16.17343","17.01543","42.04449","-35.16405","9.76593","94.00626","16.17343","17.01543","42.04449","-35.16405","9.76593","94.00626"
"5.872533","16.98322","16.31227","41.37875","-35.6767","11.1752","94.87579","16.98322","16.31227","41.37875","-35.6767","11.1752","94.87579"
"5.9059","17.45767","16.46782","40.32623","-36.14722","13.23019","95.15338","17.45767","16.46782","40.32623","-36.14722","13.23019","95.15338"
"5.939267","17.89996","15.63269","39.40485","-37.0424","17.41248","93.96363","17.89996","15.63269","39.40485","-37.0424","17.41248","93.96363"
"5.972633","18.62195","14.59608","38.26175","-38.19508","19.48981","93.86691","18.62195","14.59608","38.26175","-38.19508","19.48981","93.86691"
"6.006","19.41095","13.76561","37.22339","-39.43895","22.26181","93.15665","19.41095","13.76561","37.22339","-39.43895","22.26181","93.15665"
"6.039367","20.24503","12.28749","36.147","-41.43454","24.19687","92.97853","20.24503","12.28749","36.147","-41.43454","24.19687","92.97853"
"6.072733","21.04034","10.11053","35.25058","-43.8358","31.87421","86.71951","21.04034","10.11053","35.25058","-43.8358","31.87421","86.71951"
"6.1061","21.98413","7.487778","34.50485","-46.79211","34.80219","84.72043","21.98413","7.487778","34.50485","-46.79211","34.80219","84.72043"
"6.139467","22.63528","4.362991","33.79492","-49.77498","37.77097","81.65001","22.63528","4.362991","33.79492","-49.77498","37.77097","81.65001"
"6.172833","23.13092","1.554443","33.41721","-52.99318","40.32727","79.23868","23.13092","1.554443","33.41721","-52.99318","40.32727","79.23868"
"6.2062","24.03094","-1.888306","33.19162","-56.34206","43.13528","75.21118","24.03094","-1.888306","33.19162","-56.34206","43.13528","75.21118"
"6.239567","24.88031","-5.73111","33.51184","-60.46211","45.15588","72.10097","24.88031","-5.73111","33.51184","-60.46211","45.15588","72.10097"
"6.272933","25.75784","-9.264801","33.91586","-64.1825","48.02429","67.33055","25.75784","-9.264801","33.91586","-64.1825","48.02429","67.33055"
"6.3063","26.698","-13.64656","34.25079","-68.15887","49.84058","63.77459","26.698","-13.64656","34.25079","-68.15887","49.84058","63.77459"
"6.339667","27.81171","-17.56287","34.90063","-72.85445","51.95325","59.75209","27.81171","-17.56287","34.90063","-72.85445","51.95325","59.75209"
"6.373034","28.75327","-22.17313","35.112","-77.43243","54.19107","55.25423","28.75327","-22.17313","35.112","-77.43243","54.19107","55.25423"
"6.4064","29.6915","-26.7619","35.39874","-81.85675","56.21585","50.99246","29.6915","-26.7619","35.39874","-81.85675","56.21585","50.99246"
"6.439767","30.74298","-31.60014","35.73523","-86.91629","58.38733","46.29053","30.74298","-31.60014","35.73523","-86.91629","58.38733","46.29053"
"6.473134","31.33441","-36.77484","36.14319","-92.11337","60.19592","41.09489","31.33441","-36.77484","36.14319","-92.11337","60.19592","41.09489"
"6.5065","31.93271","-42.10132","36.38654","-97.27173","61.01392","36.71027","31.93271","-42.10132","36.38654","-97.27173","61.01392","36.71027"
"6.539866","32.30914","-46.90179","36.41116","-102.4239","62.6813","31.57339","32.30914","-46.90179","36.41116","-102.4239","62.6813","31.57339"
"6.573233","32.93195","-52.27715","36.79047","-107.5479","64.08051","27.10828","32.93195","-52.27715","36.79047","-107.5479","64.08051","27.10828"
"6.6066","33.26837","-57.18854","36.79861","-112.5794","67.18411","13.13004","33.26837","-57.18854","36.79861","-112.5794","67.18411","13.13004"
"6.639966","33.39859","-62.47064","36.7637","-117.8362","68.10608","8.257034","33.39859","-62.47064","36.7637","-117.8362","68.10608","8.257034"
"6.673333","33.41846","-67.09424","36.76233","-122.8408","68.30362","4.388824","33.41846","-67.09424","36.76233","-122.8408","68.30362","4.388824"
"6.7067","33.77368","-72.26384","36.65271","-127.7182","68.9245","-1.162704","33.77368","-72.26384","36.65271","-127.7182","68.9245","-1.162704"
"6.740067","34.03229","-77.08844","36.6908","-132.2531","69.09973","-5.110504","34.03229","-77.08844","36.6908","-132.2531","69.09973","-5.110504"
"6.773433","34.80826","-82.57822","36.83307","-136.8715","69.20303","-8.051086","34.80826","-82.57822","36.83307","-136.8715","69.20303","-8.051086"
"6.8068","34.92191","-86.25623","36.96652","-141.0582","69.24948","-11.65063","34.92191","-86.25623","36.96652","-141.0582","69.24948","-11.65063"
"6.840167","35.32343","-89.99316","37.21246","-145.2816","69.00809","-14.98698","35.32343","-89.99316","37.21246","-145.2816","69.00809","-14.98698"
"6.873533","-2.802704","-115.7274","37.51422","-149.4062","69.04373","-18.72278","-2.802704","-115.7274","37.51422","-149.4062","69.04373","-18.72278"
"6.9069","35.57867","-99.11002","37.79065","-153.3089","68.87872","-21.26108","35.57867","-99.11002","37.79065","-153.3089","68.87872","-21.26108"
"6.940267","35.73026","-102.43","37.93472","-157.3799","68.92355","-25.03149","35.73026","-102.43","37.93472","-157.3799","68.92355","-25.03149"
